result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
loss,SCHMITZ874,aymankw,765,762,UTC,21,22
loss,SCHMITZ874,vedhavikash,758,799,UTC,22,22
loss,SCHMITZ874,mjd_cafew,742,755,UTC,22,22
win,SCHMITZ874,nickcwoods,750,728,UTC,23,23
tie,SCHMITZ874,Shrivallabh47,540,562,UTC,04,04
win,SCHMITZ874,chessmjw12,555,558,UTC,23,23
win,SCHMITZ874,Chiefs19,563,598,UTC,04,04
win,SCHMITZ874,forfunok,572,600,UTC,02,02
tie,SCHMITZ874,lailamaia,564,581,UTC,01,01
loss,SCHMITZ874,ILMIR19J86,564,582,UTC,07,08
loss,SCHMITZ874,Txemik,573,737,UTC,08,08
loss,SCHMITZ874,Yaroslavcoolboy123,378,391,UTC,07,08
loss,SCHMITZ874,y_FragrantOperat,564,551,UTC,08,08
loss,SCHMITZ874,tiago91802,579,571,UTC,04,04
loss,SCHMITZ874,sathuravi1,571,567,UTC,06,06
win,SCHMITZ874,Yogeshrawat_555,580,608,UTC,06,06
win,SCHMITZ874,Cavernicola22,580,568,UTC,01,01
win,SCHMITZ874,laptop58,570,509,UTC,01,01
loss,SCHMITZ874,MilanDroid,562,562,UTC,02,02
win,SCHMITZ874,KyutaNaka,569,521,UTC,18,18
win,SCHMITZ874,GodFemto,578,580,UTC,18,18
win,SCHMITZ874,Mrgriff87,585,547,UTC,18,18
win,SCHMITZ874,Jartsjarts,600,563,UTC,00,00
win,SCHMITZ874,1BestChessPlayerUSA,615,557,UTC,20,20
tie,SCHMITZ874,MowiszMasz,637,639,UTC,17,17
win,SCHMITZ874,philmcracken1235,644,597,UTC,23,23
loss,SCHMITZ874,ilhanuludag,635,621,UTC,23,23
win,SCHMITZ874,kailo2,409,390,UTC,23,23
win,SCHMITZ874,ayoubjerard,649,596,UTC,20,20
win,SCHMITZ874,vikramsinghlakhawat,674,679,UTC,18,19
win,SCHMITZ874,Uzumakiram,674,690,UTC,20,20
loss,SCHMITZ874,Uzumakiram,674,690,UTC,20,20
loss,SCHMITZ874,normal_head,658,656,UTC,00,00
win,SCHMITZ874,SafaDogu,676,690,UTC,05,05
win,SCHMITZ874,Manlailogic,682,577,UTC,03,03
win,SCHMITZ874,kiran-nel,689,641,UTC,04,04
loss,SCHMITZ874,pinrose,682,720,UTC,04,04
win,SCHMITZ874,Neo201,496,397,UTC,06,06
win,SCHMITZ874,chan8330,518,516,UTC,03,03
loss,SCHMITZ874,Androo22,493,493,UTC,04,04
loss,SCHMITZ874,Bocanaa,485,519,UTC,00,00
loss,SCHMITZ874,gandalfelgris2,486,534,UTC,00,00
win,SCHMITZ874,alhamdzaidi,493,446,UTC,00,00
loss,SCHMITZ874,AndrewMasek,500,1159,UTC,03,03
win,SCHMITZ874,lisaFtowin,499,463,UTC,01,01
loss,SCHMITZ874,Hubester,491,517,UTC,01,01
win,SCHMITZ874,doctorg33k,498,442,UTC,05,05
loss,SCHMITZ874,Aragorn8998,492,544,UTC,06,06
win,SCHMITZ874,spiritualxauthority,500,488,UTC,22,22
win,SCHMITZ874,Alessandrocataldi,516,548,UTC,08,08
loss,SCHMITZ874,AndrewMasek,335,562,UTC,01,01
loss,SCHMITZ874,Fromki,501,545,UTC,20,20
win,SCHMITZ874,chicobanana3,502,532,UTC,01,01
tie,SCHMITZ874,Evan13Watkins,503,524,UTC,22,22
win,SCHMITZ874,schiopp,510,468,UTC,03,03
win,SCHMITZ874,mohameed5352,517,453,UTC,03,03
loss,SCHMITZ874,SOULTAKER0-0,524,559,UTC,18,19
win,SCHMITZ874,malucograu,583,560,UTC,17,17
loss,SCHMITZ874,Crv94,574,578,UTC,22,22
win,SCHMITZ874,TJXD,566,514,UTC,19,19
loss,SCHMITZ874,GuyTay,558,571,UTC,19,19
loss,SCHMITZ874,MarkHallsworth,549,536,UTC,20,21
win,SCHMITZ874,kikitox,567,577,UTC,03,03
tie,SCHMITZ874,Juliussult,567,575,UTC,03,04
win,SCHMITZ874,sididahman,574,520,UTC,18,18
loss,SCHMITZ874,Omarhp2002,549,583,UTC,19,19
loss,SCHMITZ874,Darien0214,535,584,UTC,23,00
tie,SCHMITZ874,richardkong71,535,554,UTC,19,19
loss,SCHMITZ874,metmelo,519,572,UTC,21,21
win,SCHMITZ874,zamudioalejandro,527,491,UTC,04,04
loss,SCHMITZ874,kalani7007,509,527,UTC,21,21
win,SCHMITZ874,3DJazz,525,463,UTC,04,04
win,SCHMITZ874,guna23785,525,482,UTC,20,21
tie,SCHMITZ874,ScreenBroke,517,505,UTC,19,20
win,SCHMITZ874,robchess501,525,519,UTC,02,03
tie,SCHMITZ874,EdgarGrigoryants,525,514,UTC,19,19
loss,SCHMITZ874,fn_97,509,547,UTC,00,00
win,SCHMITZ874,EReese88,502,476,UTC,03,03
loss,SCHMITZ874,vako29,502,520,UTC,23,00
loss,SCHMITZ874,Bryson555,494,526,UTC,01,01
win,SCHMITZ874,gdv4664,501,450,UTC,03,03
win,SCHMITZ874,SatanicDD,509,489,UTC,23,23
loss,SCHMITZ874,Lubomir08,508,504,UTC,00,00
loss,SCHMITZ874,seymazal,507,565,UTC,23,23
loss,SCHMITZ874,MyName4Now,499,501,UTC,02,02
loss,SCHMITZ874,TaDaronneEnPotion,516,550,UTC,22,22
loss,SCHMITZ874,hanche12,508,524,UTC,19,19
tie,SCHMITZ874,danimero,498,470,UTC,23,00
loss,SCHMITZ874,EnciW,482,474,UTC,21,21
win,SCHMITZ874,jmi06,490,468,UTC,21,21
loss,SCHMITZ874,joeymundur,493,555,UTC,18,18
win,SCHMITZ874,Shavkatjon_1999,501,482,UTC,18,18
win,SCHMITZ874,madcosdiseez,510,524,UTC,20,20
loss,SCHMITZ874,Malozgeg,517,486,UTC,20,21
loss,SCHMITZ874,Liem04,519,577,UTC,20,20
loss,SCHMITZ874,ahmedhade,503,532,UTC,18,18
win,SCHMITZ874,vikram-saini,527,519,UTC,08,08
win,SCHMITZ874,chinbokloss,534,475,UTC,05,05
loss,SCHMITZ874,dejack3367,526,537,UTC,05,05
loss,SCHMITZ874,fderghkkhtjjmgfdn,509,527,UTC,03,03
win,SCHMITZ874,aslan15_15,525,526,UTC,20,20
win,SCHMITZ874,CarvalhoHenrique,527,537,UTC,20,20
win,SCHMITZ874,exactlybro,531,540,UTC,01,01
win,SCHMITZ874,jmaher84,540,564,UTC,02,02
loss,SCHMITZ874,bulatfatihov,532,550,UTC,19,19
win,SCHMITZ874,davidriggsbee,557,581,UTC,07,07
win,SCHMITZ874,aylinemre,571,516,UTC,06,06
win,SCHMITZ874,sergio_furlaneto60,589,596,UTC,08,08
loss,SCHMITZ874,savanb,582,619,UTC,00,00
win,SCHMITZ874,Zhannakalievaa,589,544,UTC,06,06
win,SCHMITZ874,alejo10rios,614,599,UTC,04,04
