result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
win,Maxmetalico,SCHMITZ874,517,518,UTC,20,20
win,Raflik21,SCHMITZ874,511,526,UTC,20,20
win,Grayhound0,SCHMITZ874,570,526,UTC,04,05
loss,jojorapidos,SCHMITZ874,540,511,UTC,18,18
win,dannenannoue,SCHMITZ874,495,511,UTC,20,20
win,tonyAVC,SCHMITZ874,502,519,UTC,20,20
loss,Kundan027,SCHMITZ874,499,517,UTC,03,03
win,quarterunningback,SCHMITZ874,486,517,UTC,09,09
loss,alvis1809,SCHMITZ874,562,518,UTC,20,20
loss,MultiXP,SCHMITZ874,575,520,UTC,07,07
loss,Ivootje,SCHMITZ874,569,513,UTC,06,06
win,lorenloren83,SCHMITZ874,552,522,UTC,06,06
win,kitpoet,SCHMITZ874,501,540,UTC,19,19
win,dpoling08,SCHMITZ874,520,548,UTC,07,07
tie,Calekala,SCHMITZ874,545,548,UTC,07,07
win,Dasighma,SCHMITZ874,516,564,UTC,22,22
win,hajrushiqerimu,SCHMITZ874,589,580,UTC,22,22
tie,transglobe59,SCHMITZ874,602,589,UTC,20,21
win,williamguillermo,SCHMITZ874,567,597,UTC,23,23
win,Hasan300903,SCHMITZ874,638,606,UTC,04,04
loss,Fuchun09,SCHMITZ874,677,607,UTC,05,05
loss,StefanovaMama,SCHMITZ874,576,598,UTC,05,05
loss,gayratovbakhouddin,SCHMITZ874,616,582,UTC,07,07
loss,alnitakzeta,SCHMITZ874,459,447,UTC,19,19
loss,Cleci1903,SCHMITZ874,479,440,UTC,23,23
win,khotting1,SCHMITZ874,404,441,UTC,03,03
tie,Helkire,SCHMITZ874,442,434,UTC,21,22
win,Sibzawyy,SCHMITZ874,297,439,UTC,01,01
loss,nogal_elasnik,SCHMITZ874,350,422,UTC,02,02
win,LLLA8OLDA,SCHMITZ874,447,431,UTC,02,02
win,Heewon-Shin,SCHMITZ874,353,468,UTC,21,21
loss,paicjakov,SCHMITZ874,487,460,UTC,21,21
loss,xander100pcj,SCHMITZ874,478,461,UTC,18,18
loss,gabilondopm,SCHMITZ874,441,446,UTC,20,20
win,amaavieyra,SCHMITZ874,461,455,UTC,20,20
loss,ruckyszfofe,SCHMITZ874,443,448,UTC,03,03
tie,fergie80,SCHMITZ874,410,440,UTC,07,08
win,Railunion,SCHMITZ874,404,456,UTC,02,02
loss,Artoiir,SCHMITZ874,398,447,UTC,03,03
loss,kiddcroft,SCHMITZ874,436,439,UTC,03,04
loss,hmbloz,SCHMITZ874,480,440,UTC,08,08
loss,kkass7,SCHMITZ874,465,441,UTC,02,02
win,Laurine1007,SCHMITZ874,390,458,UTC,20,21
loss,Zet_Rubikon,SCHMITZ874,471,450,UTC,05,06
win,NotRealJohnny,SCHMITZ874,414,458,UTC,23,23
win,CYclops888,SCHMITZ874,408,465,UTC,23,00
win,Yukio68663,SCHMITZ874,403,462,UTC,07,07
win,RickMurillo,SCHMITZ874,428,469,UTC,02,02
win,Nertaku,SCHMITZ874,494,471,UTC,18,19
win,brittany_69,SCHMITZ874,492,480,UTC,23,00
loss,Solmimini,SCHMITZ874,524,458,UTC,02,02
win,alp9887,SCHMITZ874,431,466,UTC,02,02
win,positivitymo,SCHMITZ874,430,473,UTC,20,20
win,TheJayMoss,SCHMITZ874,612,484,UTC,20,20
tie,Bobbyskinstat,SCHMITZ874,518,483,UTC,04,04
win,sorryourgonnalose,SCHMITZ874,489,499,UTC,17,17
loss,dehatiplayer,SCHMITZ874,554,500,UTC,17,17
loss,happyco7,SCHMITZ874,469,335,UTC,19,19
win,SpaceTimeWarper,SCHMITZ874,477,499,UTC,22,22
tie,phifeanddrumbeat,SCHMITZ874,523,507,UTC,18,18
win,Joshsecond,SCHMITZ874,512,508,UTC,20,20
loss,footywarts,SCHMITZ874,498,500,UTC,03,03
loss,bradleybeach22,SCHMITZ874,314,434,UTC,00,00
win,Repiella,SCHMITZ874,438,452,UTC,20,20
loss,elops89,SCHMITZ874,413,442,UTC,20,20
loss,krowsnuts,SCHMITZ874,424,433,UTC,08,08
win,alex_matrioska,SCHMITZ874,465,434,UTC,15,15
win,CrySpace,SCHMITZ874,392,441,UTC,15,15
win,elcameroncito,SCHMITZ874,430,440,UTC,20,20
loss,eg170505,SCHMITZ874,496,433,UTC,20,20
win,jbmma,SCHMITZ874,365,438,UTC,23,23
win,johncraft1,SCHMITZ874,340,450,UTC,17,17
win,hreedi007,SCHMITZ874,463,465,UTC,17,17
loss,AndrewMasek,SCHMITZ874,1125,463,UTC,05,05
loss,AndrewMasek,SCHMITZ874,1125,463,UTC,05,05
loss,AndrewMasek,SCHMITZ874,1125,463,UTC,05,05
loss,Tamer3399,SCHMITZ874,514,447,UTC,17,17
win,samerrasrx,SCHMITZ874,397,454,UTC,17,17
loss,scoth77,SCHMITZ874,465,437,UTC,23,23
win,chriszehnpfennig,SCHMITZ874,452,440,UTC,01,01
loss,pedrovictor7328,SCHMITZ874,433,423,UTC,17,17
win,7ussien,SCHMITZ874,379,430,UTC,20,20
win,MarykeVdW,SCHMITZ874,451,439,UTC,16,17
loss,ismajota,SCHMITZ874,524,441,UTC,23,23
win,SexistJew,SCHMITZ874,397,448,UTC,06,07
win,Chotto010,SCHMITZ874,521,458,UTC,07,07
loss,The_Scythe,SCHMITZ874,497,455,UTC,20,20
tie,LongActiveDream,SCHMITZ874,443,455,UTC,21,21
loss,andresvalenzuelaw,SCHMITZ874,448,447,UTC,02,02
loss,Bardia_salimi,SCHMITZ874,498,432,UTC,19,19
loss,amitchakro,SCHMITZ874,430,424,UTC,19,20
win,sweenbean97,SCHMITZ874,395,439,UTC,20,20
loss,Holder_of_Luava,SCHMITZ874,472,426,UTC,17,17
win,Abdoulaa089632,SCHMITZ874,408,426,UTC,20,20
win,scoopsy,SCHMITZ874,407,434,UTC,20,20
win,DGANTE,SCHMITZ874,470,443,UTC,22,22
loss,guijmo,SCHMITZ874,486,446,UTC,23,23
loss,Amaltom,SCHMITZ874,355,442,UTC,17,17
loss,osmanay0,SCHMITZ874,485,434,UTC,03,03
win,hamzajokez,SCHMITZ874,420,442,UTC,20,20
loss,Catsknees86,SCHMITZ874,501,427,UTC,20,20
loss,Cor2828,SCHMITZ874,401,418,UTC,06,06
win,jskeeter4,SCHMITZ874,378,436,UTC,20,20
win,PolioPollution,SCHMITZ874,444,438,UTC,05,05
loss,Ruhtaaaaa,SCHMITZ874,466,430,UTC,05,06
win,Antronus0,SCHMITZ874,478,446,UTC,19,19
win,basilsmom,SCHMITZ874,420,454,UTC,20,20
win,Tank314159,SCHMITZ874,464,455,UTC,23,23
loss,0xsarahx0,SCHMITZ874,478,441,UTC,06,06
tie,Naif_A,SCHMITZ874,368,402,UTC,21,21
loss,AndrewMasek,SCHMITZ874,1054,414,UTC,23,23
loss,maximilianusmax,SCHMITZ874,420,402,UTC,23,23
win,SocorroGarcia,SCHMITZ874,428,424,UTC,21,21
win,guiferrari11,SCHMITZ874,463,437,UTC,21,21
win,dkrt6,SCHMITZ874,404,447,UTC,21,21
win,Ivantej,SCHMITZ874,430,448,UTC,20,20
tie,kumahime,SCHMITZ874,535,442,UTC,06,06
loss,kumahime,SCHMITZ874,547,423,UTC,06,06
win,ilariacammarota,SCHMITZ874,455,453,UTC,20,21
loss,Amitsalom,SCHMITZ874,618,507,UTC,16,16
loss,Amitsalom,SCHMITZ874,616,549,UTC,16,16
loss,dineshk545,SCHMITZ874,676,529,UTC,16,16
loss,bula68,SCHMITZ874,555,391,UTC,17,17
win,Learning401,SCHMITZ874,474,479,UTC,17,17
loss,YOURMOMSFAT,SCHMITZ874,556,440,UTC,19,19
loss,Marciomelga,SCHMITZ874,581,456,UTC,21,21
loss,deividmendonca,SCHMITZ874,487,422,UTC,21,21
win,gloriagm1,SCHMITZ874,401,455,UTC,21,21
win,Urlodelpazzosium,SCHMITZ874,350,536,UTC,16,16
tie,chikun05,SCHMITZ874,498,533,UTC,16,16
loss,tacmetz,SCHMITZ874,490,481,UTC,22,22
win,Exocom,SCHMITZ874,398,478,UTC,01,01
win,bedbsesed,SCHMITZ874,337,447,UTC,01,01
loss,Marek22222,SCHMITZ874,405,424,UTC,20,20
tie,Allawi85,SCHMITZ874,410,423,UTC,20,20
win,ConnorPenka,SCHMITZ874,417,438,UTC,23,00
tie,BlakeHardaker,SCHMITZ874,457,450,UTC,02,02
loss,AkatsukiT4,SCHMITZ874,452,438,UTC,23,23
loss,Bolluu,SCHMITZ874,503,428,UTC,23,23
tie,adityeah4,SCHMITZ874,875,406,UTC,16,16
loss,dksd629,SCHMITZ874,964,447,UTC,16,16
win,wkevinang,SCHMITZ874,408,417,UTC,19,19
loss,EnglishDave2,SCHMITZ874,457,419,UTC,19,19
loss,KaMPi_15,SCHMITZ874,421,409,UTC,20,20
tie,jry2,SCHMITZ874,354,415,UTC,18,18
tie,jonthibs,SCHMITZ874,334,419,UTC,00,00
